from_port,to_port,month,distance_nm,sig_wave_height_m,wind_speed_ms,weather_delay_days
SINGAPORE,NEWCASTLE,8,10515.278159069516,2.5898799368571375,8.863517281370692,0.574678683616235
SANTOS,DALRYMPLE BAY,6,5393.379254442103,2.179590728119824,7.49988899335641,0.5456599596182321
DALRYMPLE BAY,SINGAPORE,11,8132.476190781681,2.2668887744575272,8.105449726751948,0.36479601233426306
NEWCASTLE,ROTTERDAM,6,1959.9395407659022,1.5740694491612055,6.635896169250874,0.03724778275761384
SINGAPORE,SANTOS,10,2864.1758060224524,2.009393831963278,8.56194193223175,0.21384574077395072
QINGDAO,SANTOS,10,5568.522979816832,2.2605263669032514,8.588631803295394,0.565107223000792
NEWCASTLE,SANTOS,6,9697.654825730662,2.918247875943385,8.970664636193526,0.9808670390281994
RICHARDS BAY,DALRYMPLE BAY,7,9532.48800286827,2.6912529708468043,9.03378086944517,0.4765406327750382
DALRYMPLE BAY,QINGDAO,4,10460.732269315744,2.5888009477527443,9.868087249573257,0.4712993719156353
ROTTERDAM,RICHARDS BAY,10,8475.292173437569,2.2386130633742356,8.095488232750142,0.1038411778288777
RICHARDS BAY,ROTTERDAM,9,6760.970138585317,2.1465513685057047,7.869804424967255,0.40994159188544815
QINGDAO,RICHARDS BAY,5,2420.3241528190606,1.4703886986738879,6.562614843308386,0.6507433617132607
QINGDAO,NEWCASTLE,4,6218.295772509781,2.3739220184881966,7.020523613784044,0.6088679103312225
NEWCASTLE,RICHARDS BAY,7,3356.114220861933,1.9054142854926044,7.832680716508651,0.8550234976880051
SINGAPORE,RICHARDS BAY,8,5865.977722791401,2.193659090023993,9.850621071267547,0.12911191732318922
SINGAPORE,NEWCASTLE,3,11213.76124295637,2.554709315166005,7.638612335829352,0.23969090345408206
SANTOS,NEWCASTLE,1,6609.912473800684,3.021377363160676,10.310466188665188,0.5100502654173915
SINGAPORE,RICHARDS BAY,7,6108.57033320299,2.063266582208693,7.090879411591573,0.0
RICHARDS BAY,NEWCASTLE,2,8423.937664264968,3.6926050868647513,10.200266407312478,0.7325902391289041
QINGDAO,SINGAPORE,7,5394.6839805556065,2.318940301917834,9.022831569941532,0.4561143095329299
DALRYMPLE BAY,QINGDAO,12,3228.3820846111907,3.374614583777755,12.328320423965943,0.977845307894081
DALRYMPLE BAY,QINGDAO,11,6948.012784057715,2.526687891423738,9.482132221309088,1.0334185440650194
ROTTERDAM,QINGDAO,1,4030.19103755969,3.288062907415173,12.037570107072547,0.5573191585155757
DALRYMPLE BAY,QINGDAO,4,9662.750801532364,2.5675474447929165,10.54257675089955,0.6335649999642726
SINGAPORE,NEWCASTLE,12,6816.464282016646,3.581409395991421,12.078721334338855,0.613246207066646
SINGAPORE,NEWCASTLE,2,2799.4149383286185,3.580768841424243,11.699653119852412,1.4045268243727542
SANTOS,QINGDAO,12,1761.0246595556914,3.2032494004439314,10.634727131026768,1.5835851571673758
DALRYMPLE BAY,SINGAPORE,8,11296.743826802218,2.724355883757324,10.654565388402883,0.43969305532676395
QINGDAO,NEWCASTLE,6,7073.080701290061,2.0484762419191838,7.2200917056707805,0.3678983626600891
QINGDAO,DALRYMPLE BAY,11,6265.917261801147,2.677665784676509,12.260398738593425,0.32393162938990183
SANTOS,RICHARDS BAY,5,10158.973999791584,2.6463272223191443,8.916498373408189,0.5583659441685929
QINGDAO,SANTOS,2,1722.0541715326203,3.3136669739168036,11.640049765653435,0.9382531224552253
NEWCASTLE,QINGDAO,12,10687.55189346339,4.6967056820255175,14.966766266526278,1.7386319469117226
SANTOS,QINGDAO,1,5422.948453825502,3.621119612926692,11.722382629244995,0.49782229155998325
NEWCASTLE,DALRYMPLE BAY,10,11785.492146159224,2.590897858874856,9.07830744968375,0.5087380384389483
DALRYMPLE BAY,QINGDAO,7,10504.507513286855,2.6392489482348154,8.90658331514834,0.06905323220490678
QINGDAO,SANTOS,8,5358.874006208845,1.7200178474097,7.105579522463524,0.7096326525834319
QINGDAO,NEWCASTLE,11,6549.559497150825,2.2866538973365724,9.401295971470203,0.41278179614126376
NEWCASTLE,SANTOS,1,9216.378204258053,4.273011948466001,13.296892885663262,1.9076495717112982
ROTTERDAM,RICHARDS BAY,2,11327.368138356573,4.586105343818674,13.809744498535043,1.3284574948732086
DALRYMPLE BAY,NEWCASTLE,2,7695.796901262246,4.116173300958233,12.841108074140907,0.5860082675146718
QINGDAO,NEWCASTLE,7,9521.195595069174,2.2747885319495857,9.140483386692527,0.018811119803028964
NEWCASTLE,SINGAPORE,6,5895.387158298984,2.1594021218710493,8.553205136440795,0.531948125949805
RICHARDS BAY,NEWCASTLE,5,4801.61979214476,1.6626011546209531,7.200193278922328,0.7542950858369541
QINGDAO,RICHARDS BAY,12,9693.165686048618,4.22635476337482,13.294529593639702,1.5038500174240839
