from_port,to_port,month,distance_nm,from_busy,to_busy,port_delay_days
SINGAPORE,NEWCASTLE,8,10515.278159069516,0.6973680290593639,0.09417734788764953,1.9879828591025757
SANTOS,DALRYMPLE BAY,6,5393.379254442103,0.9267649888486018,0.6438651200806645,4.26182566336785
DALRYMPLE BAY,SINGAPORE,11,8132.476190781681,0.7580877400853738,0.35452596812986836,3.5208677614391806
NEWCASTLE,ROTTERDAM,6,1959.9395407659022,0.15428949206754783,0.6830489532424546,3.0293329080064844
SINGAPORE,SANTOS,10,2864.1758060224524,0.47570492622593374,0.2269093490508841,2.2086744559846387
QINGDAO,SANTOS,10,5568.522979816832,0.2883281039302441,0.6824955039749755,2.7095115843111537
NEWCASTLE,SANTOS,6,9697.654825730662,0.45891577553833995,0.5687411959528937,2.8301397837783275
RICHARDS BAY,DALRYMPLE BAY,7,9532.48800286827,0.6347183200005908,0.5535794006579958,3.537710473377729
DALRYMPLE BAY,QINGDAO,4,10460.732269315744,0.23393948586534075,0.05830274168906602,1.7063853661961064
ROTTERDAM,RICHARDS BAY,10,8475.292173437569,0.4063868614400705,0.8140203846660347,2.9998087244574285
RICHARDS BAY,ROTTERDAM,9,6760.970138585317,0.15231210271316842,0.696320375077736,2.701467506100189
QINGDAO,RICHARDS BAY,5,2420.3241528190606,0.11800590212051532,0.9618976645495145,2.8407330316703874
QINGDAO,NEWCASTLE,4,6218.295772509781,0.272241561845159,0.0963909621534993,1.3125666062625805
NEWCASTLE,RICHARDS BAY,7,3356.114220861933,0.8566142840923755,0.7585195298352101,3.586276255272747
SINGAPORE,RICHARDS BAY,8,5865.977722791401,0.04161417386189248,0.49399081924451893,2.0985533707182245
SINGAPORE,NEWCASTLE,3,11213.76124295637,0.581061139700395,0.34686980453483707,3.0706103293440448
SANTOS,NEWCASTLE,1,6609.912473800684,0.4907069943545209,0.9378264549749828,3.1917472743362962
SINGAPORE,RICHARDS BAY,7,6108.57033320299,0.021612079880330426,0.8262919241943578,2.464055951787664
RICHARDS BAY,NEWCASTLE,2,8423.937664264968,0.7269946142868826,0.768647491917657,4.205576900031551
QINGDAO,SINGAPORE,7,5394.6839805556065,0.8297897431324132,0.8082514720643018,3.5846457581864
DALRYMPLE BAY,QINGDAO,12,3228.3820846111907,0.04491061939232899,0.43509706000303794,1.0102594332934456
DALRYMPLE BAY,QINGDAO,11,6948.012784057715,0.315929051830793,0.772012432110988,2.758912714752953
ROTTERDAM,QINGDAO,1,4030.19103755969,0.12275793241148603,0.8311126721249061,2.4374430756377286
DALRYMPLE BAY,QINGDAO,4,9662.750801532364,0.9718264260609674,0.5007411862023423,3.7628956051934326
SINGAPORE,NEWCASTLE,12,6816.464282016646,0.6942624356428865,0.5811166092209024,2.94032035705691
SINGAPORE,NEWCASTLE,2,2799.4149383286185,0.9275625510065076,0.39757819382494064,3.0591829988345434
SANTOS,QINGDAO,12,1761.0246595556914,0.5551980423268247,0.6339751116810851,2.432642312100258
DALRYMPLE BAY,SINGAPORE,8,11296.743826802218,0.8043609156129707,0.4673816015552915,3.272039420091241
QINGDAO,NEWCASTLE,6,7073.080701290061,0.6060158207000109,0.8677389537760112,4.585580368253416
QINGDAO,DALRYMPLE BAY,11,6265.917261801147,0.24783956295135812,0.23666236299758114,1.24358548360608
SANTOS,RICHARDS BAY,5,10158.973999791584,0.31033467392407443,0.14387193297114265,2.127296944204711
QINGDAO,SANTOS,2,1722.0541715326203,0.05539540916426011,0.1746414709358527,0.7240455812492502
NEWCASTLE,QINGDAO,12,10687.55189346339,0.851131626822206,0.04347506201279194,2.6846763329777694
SANTOS,QINGDAO,1,5422.948453825502,0.5237529487176372,0.10167190290371597,2.3984543071695277
NEWCASTLE,DALRYMPLE BAY,10,11785.492146159224,0.8020258802735936,0.7794775407713289,4.173268168740303
DALRYMPLE BAY,QINGDAO,7,10504.507513286855,0.46279936559351587,0.3850894961003535,2.69160806760106
QINGDAO,SANTOS,8,5358.874006208845,0.3663924498262474,0.32749556441254546,2.031189990456489
QINGDAO,NEWCASTLE,11,6549.559497150825,0.3283612050046888,0.5354347898300031,3.152643774994042
NEWCASTLE,SANTOS,1,9216.378204258053,0.20240459312571835,0.6947981288184982,2.5789639310992722
ROTTERDAM,RICHARDS BAY,2,11327.368138356573,0.13740793003780216,0.9588802459090804,2.9516328218650836
DALRYMPLE BAY,NEWCASTLE,2,7695.796901262246,0.09504919756440122,0.6161657000241213,1.9462942436735193
QINGDAO,NEWCASTLE,7,9521.195595069174,0.7992447165120666,0.4921532155754291,2.6335603332065527
NEWCASTLE,SINGAPORE,6,5895.387158298984,0.7743214161418432,0.6712314133085926,4.013263639211436
